Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_re_export
   Austria,24900,45360,57600,32100,22860,13740,9780,13320,12600,23880,24540,26400,31680,37200,32580,48360,59460,67200,59520,24900,27780,21900,18240,18660,23160,22680,18480,18480,15420,16440,869220
   Belgium,0,0,0,0,0,0,0,0,0,130140,141420,139440,138480,134280,154320,174300,184020,174660,368520,298860,303180,293640,285240,255420,237180,267600,273000,262620,262620,300840,4779780
   Belgium/Luxembourg,53460,62280,67860,76440,78240,79680,89220,99480,136200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742860
   Bulgaria,9960,10980,420,4200,6600,7320,1560,1140,1080,240,360,300,180,180,180,660,840,1740,4320,6840,7980,7320,11040,11460,14640,16500,19620,17520,18720,21720,205620
   Croatia,0,0,2040,1860,1800,1920,1020,1440,1140,900,1020,900,960,1020,1080,1080,1080,1620,1680,1680,1440,1440,1440,1560,3060,3780,5940,4680,5160,5160,57900
   Cyprus,960,420,240,120,60,60,60,60,60,120,60,240,240,360,420,540,1080,120,0,0,120,0,60,120,480,180,240,120,60,1380,7980
   Czechia,0,0,180,3960,2700,2520,3000,4560,14460,10200,14940,15960,14760,21060,19440,24420,18540,21480,24960,24300,28860,22800,26460,32760,49500,81540,58380,42180,44760,45960,674640
   Denmark,5640,4440,6180,6180,7500,7140,6660,8460,9600,13500,13860,14100,16260,16680,16260,11940,10920,12060,12720,11040,12480,8820,6780,5940,6300,6540,9120,7200,7680,7800,289800
   Estonia,0,0,180,420,1200,1500,1980,2520,2700,2160,480,3240,540,1140,2820,4560,5220,10560,10860,14040,9480,6000,3180,2160,840,420,780,1500,1260,1500,93240
   Finland,1140,1260,2100,11880,13020,5820,10320,12300,11160,12900,10320,8880,7140,7320,7740,3240,7260,9000,10200,11100,11580,11640,9360,10860,10980,12660,14520,17880,10740,10080,284400
   France,54780,60420,61380,58560,69900,64860,70920,69960,71580,68460,64380,76020,75840,79680,62400,61680,57420,54060,57840,60840,63600,62580,61140,60840,65820,72540,77880,90840,98940,108720,2063880
   Germany,197520,195120,199080,196920,208140,193200,216780,236100,243780,238320,289500,320640,377280,391080,420660,501360,550620,641820,628260,649140,692520,700980,755400,721200,774660,749760,798780,816000,826200,828060,14558880
   Greece,660,1200,1740,13620,8760,8340,3060,3000,2220,5520,6660,19200,4260,4140,4260,3600,2460,3960,4680,4320,4080,7920,10080,10140,8760,9660,11820,6660,6060,6420,187260
   Hungary,0,15660,10440,6660,2820,4320,1920,4380,3780,6300,9420,11160,11400,13080,16200,16920,18180,22260,19020,15540,21060,27600,29760,22860,26040,18660,21300,18780,19920,21300,436740
   Ireland,600,300,240,180,180,480,660,540,600,420,4320,2040,2040,4500,2160,1800,3120,1020,960,480,480,1800,2220,2280,2160,3900,5100,8220,4140,4140,61080
   Italy,22980,24120,27900,39840,47160,44940,49560,49560,56760,61380,69360,77400,80460,84600,93540,102480,116280,131280,136620,136320,146760,159780,177840,190980,208140,220140,251580,265020,279540,326280,3678600
   Latvia,0,0,60,1080,1020,900,960,1440,1500,1020,1140,360,1140,1620,1980,2820,2400,1200,2340,2640,2340,2400,3360,3960,6180,5700,7200,6660,8700,7260,79380
   Lithuania,0,0,0,0,600,2700,4980,4740,3000,2880,2340,3780,3300,2880,3540,5400,6180,6300,11220,12060,9180,6540,8580,9900,10380,12960,15420,11520,10800,13320,184500
   Luxembourg,0,0,0,0,0,0,0,0,0,5040,5280,4560,4800,5940,5700,6240,6120,6540,6780,6480,7020,6660,6660,8220,9480,9240,10260,10140,10680,10740,152580
   Malta,60,180,120,60,120,60,0,60,240,0,0,0,60,0,0,0,0,0,0,0,0,60,0,0,0,60,60,0,0,0,1140
   Netherlands,35100,37980,38880,25500,40680,37020,34500,33420,54060,65640,66360,67020,71160,85980,70860,63660,69840,74340,58860,96240,74160,106140,80820,106860,132960,148800,162120,186240,202560,199440,2527200
   Poland,6000,420,8220,7560,6000,8040,10140,17220,19680,25080,31860,29820,26520,25320,24360,31440,39660,42540,46740,69660,67380,82200,96420,96900,124740,134760,111120,105480,113340,117120,1525740
   Portugal,1860,2040,2400,2280,3120,4440,5940,6480,5760,5940,7380,6960,6840,6600,4980,6420,6840,9120,8940,9960,11820,12600,13680,12720,13620,13920,15720,15000,16020,17340,256740
   Romania,0,0,180,360,0,120,0,60,660,300,60,60,60,0,600,1020,1140,960,1140,2220,2580,2520,3240,4800,2760,1800,3660,3060,3240,3420,40020
   Slovakia,0,0,0,780,1380,1620,960,1080,1020,1200,1380,1980,1500,1020,900,840,3960,9120,16200,14760,19080,23340,34260,28200,25260,38580,40800,34260,36720,32820,373020
   Slovenia,0,0,420,300,420,480,660,600,720,660,840,660,720,600,660,540,660,600,660,720,780,900,2160,4440,4860,5040,7800,12720,19920,24900,94440
   Spain,15900,16080,17220,10080,14220,23820,35700,46740,42000,38340,45180,74220,69960,81900,86220,87180,87660,91200,86460,86700,108180,100320,99540,98160,114360,114480,127500,136500,155100,166560,2277480
   Sweden,4620,6840,8280,8280,13440,13020,13500,13920,11520,10560,10260,10860,14340,15420,15720,31380,30300,31500,31920,31560,30300,31320,31200,32040,32820,29880,33120,34860,34740,34740,652260
Japan,1200,2040,1620,2040,1620,420,360,1140,540,480,1920,4680,5940,8220,5220,3780,2820,5220,10740,7560,8580,4800,4260,5520,6660,7020,6660,6780,7440,9480,134760
Norway,480,240,180,180,360,300,420,540,240,300,300,360,360,480,420,600,600,480,420,540,840,600,720,1080,840,720,1080,1140,540,900,16260
Russian Federation,0,0,300,0,840,4680,3900,19680,5100,960,1620,1500,3180,5580,7740,9060,14640,20400,25260,26400,27300,27780,28740,45720,43560,51840,47640,57360,63240,65820,609840
Switzerland,9960,9060,9300,9960,11760,10500,14580,16800,15240,18120,18780,22860,26520,25380,30720,34020,37260,50520,52980,63960,78780,84840,85500,92820,96960,98460,104880,111660,116760,126840,1485780
Tunisia,0,0,0,0,0,0,0,0,0,0,60,60,60,180,60,0,540,0,0,0,180,780,1080,600,0,60,0,0,0,0,3660
United Kingdom,28920,29100,34200,37740,49020,37980,33120,30660,32220,38700,39120,46260,46680,45540,50280,53100,56940,59340,54000,53520,71580,75840,72000,82800,83400,78120,94080,99720,113340,106800,1734120
United States of America,49500,60600,82620,103200,154320,110460,122940,146760,146820,130080,123300,123360,131520,167880,157560,147120,163260,162420,171660,168120,191460,223680,203040,194880,201660,177480,190500,175800,174120,170520,4526640
